name_prep
Рис (варіння)
Хліб пшеничний (без обробки)
Хліб житній (без обробки)
Яловичина (варіння)
Яловичина (смаження)
Свинина (варіння)
Свинина (смаження)
Птиця (варіння)
Птиця (смаження)
Сало (без обробки)
Сало (смаження)
Макаронні вироби (варіння)
Крупи гречані (варіння)
Ковбаси (без обробки)
Молоко (без обробки)
Сметана (без обробки)
Масло вершкове (без обробки)
Сир м'який (без обробки)
Цукор (без обробки)
Олія соняшникова (без обробки)
Яйця (варіння)
Яйця (смаження)
Картопля (варіння)
Картопля (смаження)
Капуста (без обробки)
Капуста (варіння)
Морква (без обробки)
Морква (варіння)
Буряк (без обробки)
Буряк (варіння)
Цибуля (без обробки)
Цибуля (варіння)
Сіль (без обробки)
Апельсини (без обробки)
Зелена квасоля (без обробки)
Насіння соняшника (без обробки)
Насіння гарбуза (без обробки)
Грецький горіх (без обробки)
Пластівці вівсяні (варіння)
Гриби печериці (варіння)
Інжир (без обробки)
Редиска (без обробки)
Помідори (без обробки)
Перець солодкий (без обробки)
Перець гострий (без обробки)
Часник (без обробки)
Петрушка (без обробки)
Кріп (без обробки)
Оселедець (без обробки)
Сардина в олії (консерва)
Сардина в томаті (консерва)
